model,test_accuracy
-1--1--1--1--1--1,0.7429999709129333
0--1--1--1--1--1,0.7423999905586243
-1-2-2-2-2-2,0.7319999933242798
0-2-2-2-2-2,0.7310999631881714
-1-8-8-8-8-8,0.6157999634742737
0-8-8-8-8-8,0.6159999966621399
2--1--1--1--1--1,0.7423999905586243
2-2-2-2-2-2,0.7310999631881714
2-8-8-8-8-8,0.6159999966621399
4--1--1--1--1--1,0.7423999905586243
4-2-2-2-2-2,0.7310999631881714
4-8-8-8-8-8,0.6159999966621399
6--1--1--1--1--1,0.7429999709129333
6-2-2-2-2-2,0.73089998960495
6-8-8-8-8-8,0.6159999966621399
8--1--1--1--1--1,0.7383999824523926
8-2-2-2-2-2,0.727899968624115
8-8-8-8-8-8,0.6079999804496765
-1-0--1--1--1--1,0.7426999807357788
2--1-2-2-2-2,0.7328000068664551
2-0-2-2-2-2,0.7315999865531921
8--1-8-8-8-8,0.6467999815940857
8-0-8-8-8-8,0.6455999612808228
-1-2--1--1--1--1,0.7394999861717224
8-2-8-8-8-8,0.6448000073432922
-1-4--1--1--1--1,0.7412999868392944
2-4-2-2-2-2,0.7293999791145325
8-4-8-8-8-8,0.640999972820282
-1-6--1--1--1--1,0.7379999756813049
2-6-2-2-2-2,0.7285000085830688
8-6-8-8-8-8,0.6341999769210815
-1-8--1--1--1--1,0.7258999943733215
2-8-2-2-2-2,0.7141000032424927
-1--1-0--1--1--1,0.7405999898910522
2-2--1-2-2-2,0.7360999584197998
2-2-0-2-2-2,0.7342999577522278
8-8--1-8-8-8,0.6608999967575073
8-8-0-8-8-8,0.6609999537467957
-1--1-2--1--1--1,0.7379999756813049
8-8-2-8-8-8,0.6577000021934509
-1--1-4--1--1--1,0.7353000044822693
2-2-4-2-2-2,0.7294999957084656
8-8-4-8-8-8,0.651199996471405
-1--1-6--1--1--1,0.7339999675750732
2-2-6-2-2-2,0.7224000096321106
8-8-6-8-8-8,0.6359999775886536
-1--1-8--1--1--1,0.7224999666213989
2-2-8-2-2-2,0.711899995803833
-1--1--1-0--1--1,0.7407999634742737
2-2-2--1-2-2,0.7365999817848206
2-2-2-0-2-2,0.7350999712944031
8-8-8--1-8-8,0.6699999570846558
8-8-8-0-8-8,0.6675999760627747
-1--1--1-2--1--1,0.7387999892234802
8-8-8-2-8-8,0.6631999611854553
-1--1--1-4--1--1,0.7328000068664551
2-2-2-4-2-2,0.7235999703407288
8-8-8-4-8-8,0.6604999899864197
-1--1--1-6--1--1,0.7297999858856201
2-2-2-6-2-2,0.7224999666213989
8-8-8-6-8-8,0.6455999612808228
-1--1--1-8--1--1,0.7069999575614929
2-2-2-8-2-2,0.6987000107765198
-1--1--1--1-0--1,0.7421999573707581
2-2-2-2--1-2,0.732699990272522
2-2-2-2-0-2,0.7328000068664551
8-8-8-8--1-8,0.6208999752998352
8-8-8-8-0-8,0.6216999888420105
-1--1--1--1-2--1,0.7389000058174133
8-8-8-8-2-8,0.6190999746322632
-1--1--1--1-4--1,0.7382000088691711
2-2-2-2-4-2,0.7304999828338623
8-8-8-8-4-8,0.6162999868392944
-1--1--1--1-6--1,0.7384999990463257
2-2-2-2-6-2,0.7299000024795532
8-8-8-8-6-8,0.6182000041007996
-1--1--1--1-8--1,0.7324999570846558
2-2-2-2-8-2,0.7239999771118164
-1--1--1--1--1-0,0.7429999709129333
2-2-2-2-2--1,0.7301999926567078
2-2-2-2-2-0,0.7306999564170837
8-8-8-8-8--1,0.6085999608039856
8-8-8-8-8-0,0.6074999570846558
-1--1--1--1--1-2,0.7429999709129333
8-8-8-8-8-2,0.6085000038146973
-1--1--1--1--1-4,0.7421000003814697
2-2-2-2-2-4,0.7310999631881714
8-8-8-8-8-4,0.6078999638557434
-1--1--1--1--1-6,0.7425000071525574
2-2-2-2-2-6,0.7304999828338623
8-8-8-8-8-6,0.6092999577522278
-1--1--1--1--1-8,0.7419999837875366
2-2-2-2-2-8,0.7301999926567078
