block_index,block_sparsity,test_accuracy_drop,inference_time_rel_drop,model_size_drop,FLOPs_drop,param_drop
0,0.0,0.00043332576751708984,0.0,0,0,0
0,0.2,0.00043332576751708984,0.0,28928,14893056.0,7272.0
0,0.4,0.00043332576751708984,0.0,60608,31027200.0,15150.0
0,0.6,0.000299990177154541,0.0,92288,47161344.0,23028.0
0,0.8,0.005499998728434245,0.0,123968,63295488.0,30906.0
1,0.0,0.0009000102678934733,0.0,0,0,0
1,0.2,0.002400000890096029,0.0,173248,22156800.0,43275.0
1,0.4,0.0036333401997884116,0.0,353600,45199872.0,88281.0
1,0.6,0.0072999993960062666,0.0,526720,67356672.0,131556.0
1,0.8,0.024866660435994465,0.0,707072,90399744.0,176562.0
2,0.0,0.0013666749000549316,0.0,0,0,0
2,0.2,0.004399995009104411,0.0,706112,22580352.0,176409.0
2,0.4,0.00799997647603353,0.0,1412096,45160704.0,352818.0
2,0.6,0.015866657098134358,0.0,2118080,67741056.0,529227.0
2,0.8,0.03253332773844401,0.0,2824064,90321408.0,705636.0
3,0.0,0.0020333329836527505,0.0,0,0,0
3,0.2,0.005499998728434245,0.0,1411136,22580352.0,352665.0
3,0.4,0.010899980862935385,0.0,2822144,45160704.0,705330.0
3,0.6,0.01723333199818929,0.0,4233152,67741056.0,1057995.0
3,0.8,0.04529998699824015,0.0,5644160,90321408.0,1410660.0
4,0.0,-3.333886464436849e-05,0.0,0,0,0
4,0.2,0.002499997615814209,0.0,3762176,30090816.0,940338.0
4,0.4,0.0038666526476542154,0.0,7524224,60181632.0,1880676.0
4,0.6,0.00333331028620402,0.0,11323456,90567456.0,2830233.0
4,0.8,0.01070000727971395,0.0,15085504,120658272.0,3770571.0
5,0.0,0.0002000133196512858,0.0,0,0,0
5,0.2,-0.00026667118072509766,0.0,3762176,7522704.0,940338.0
5,0.4,0.00023333231608072916,0.0,7524224,15045408.0,1880676.0
5,0.6,-0.00016667445500691733,0.0,11323456,22641864.0,2830233.0
5,0.8,0.0005333224932352701,0.0,15085504,30164568.0,3770571.0
